# index, Class, WikipediaUrl, name, _pos
0,Applied,https://en.wikipedia.org/wiki/Accounting,Accounting,"array([ 7.73788668, -1.35252961])"
1,Applied,https://en.wikipedia.org/wiki/Aerospace_engineering,Aerospace engineering,"array([ 7.8364412 , -1.43536934])"
2,Applied,https://en.wikipedia.org/wiki/Agricultural_engineering,Agricultural engineering,"array([ 7.72458706, -1.55646375])"
3,Applied,https://en.wikipedia.org/wiki/Agricultural_science,Agricultural science,"array([ 7.6635834 , -1.61372565])"
4,Applied,https://en.wikipedia.org/wiki/Agronomy,Agronomy,"array([ 7.65794435, -1.64257787])"
5,Applied,https://en.wikipedia.org/wiki/Algaculture,Algaculture,"array([ 7.57764172, -1.32096613])"
6,Applied,https://en.wikipedia.org/wiki/Animal_husbandry,Animal husbandry,"array([ 7.62490757, -1.34849761])"
7,Applied,https://en.wikipedia.org/wiki/Applied_linguistics,Applied linguistics,"array([ 7.76844434, -1.5765298 ])"
8,Applied,https://en.wikipedia.org/wiki/Applied_mathematics,Applied mathematics,"array([ 7.88936608, -1.47174973])"
9,Applied,https://en.wikipedia.org/wiki/Applied_physics,Applied physics,"array([ 7.83832112, -1.5461273 ])"
10,Applied,https://en.wikipedia.org/wiki/Applied_science,Applied science,"array([ 7.74532222, -1.51635109])"
11,Applied,https://en.wikipedia.org/wiki/Aquaculture,Aquaculture,"array([ 7.65080744, -1.35211825])"
12,Applied,https://en.wikipedia.org/wiki/Aquatic_plant,Aquatic plant,"array([ 7.74367309, -1.69791632])"
13,Applied,https://en.wikipedia.org/wiki/Arboriculture,Arboriculture,"array([ 7.72485058, -1.63186643])"
14,Applied,https://en.wikipedia.org/wiki/Architectural_engineering,Architectural engineering,"array([ 7.85320694, -1.50823679])"
15,Applied,https://en.wikipedia.org/wiki/Artificial_intelligence,Artificial intelligence,"array([ 7.88653228, -1.35896249])"
16,Applied,https://en.wikipedia.org/wiki/Astronautics,Astronautics,"array([ 7.81590854, -1.58753648])"
17,Applied,https://en.wikipedia.org/wiki/Astronomy,Astronomy,"array([ 7.90100662, -1.49763503])"
18,Applied,https://en.wikipedia.org/wiki/Biological_engineering,Biological engineering,"array([ 7.69751779, -1.48810241])"
19,Applied,https://en.wikipedia.org/wiki/Biomedical_engineering,Biomedical engineering,"array([ 7.76470983, -1.36508774])"
20,Applied,https://en.wikipedia.org/wiki/Building_science,Building science,"array([ 7.83816285, -1.50244945])"
21,Applied,https://en.wikipedia.org/wiki/Business_operations,Business operations,"array([ 7.69117221, -1.36191979])"
22,Applied,https://en.wikipedia.org/wiki/Cardiology,Cardiology,"array([ 7.68179768, -1.32394076])"
23,Applied,https://en.wikipedia.org/wiki/Ceramic_engineering,Ceramic engineering,"array([ 7.98790332, -1.57384816])"
24,Applied,https://en.wikipedia.org/wiki/Civil_engineering,Civil engineering,"array([ 7.79528699, -1.43369447])"
25,Applied,https://en.wikipedia.org/wiki/Computing,Computing,"array([ 7.87196604, -1.41309525])"
26,Applied,https://en.wikipedia.org/wiki/Conservation_medicine,Conservation medicine,"array([ 7.7600824 , -1.54879909])"
27,Applied,https://en.wikipedia.org/wiki/Control_engineering,Control engineering,"array([ 7.85350559, -1.42624096])"
28,Applied,https://en.wikipedia.org/wiki/Cuniculture,Cuniculture,"array([ 7.66577348, -1.31106109])"
29,Applied,https://en.wikipedia.org/wiki/Data_science,Data science,"array([ 7.87665571, -1.34579871])"
30,Applied,https://en.wikipedia.org/wiki/Dermatology,Dermatology,"array([ 7.67866512, -1.29173768])"
31,Applied,https://en.wikipedia.org/wiki/Electrical_engineering,Electrical engineering,"array([ 7.82634649, -1.40142736])"
32,Applied,https://en.wikipedia.org/wiki/Electronics,Electronics,"array([ 7.8764012 , -1.44208809])"
33,Applied,https://en.wikipedia.org/wiki/Endocrinology,Endocrinology,"array([ 7.65250424, -1.25523699])"
34,Applied,https://en.wikipedia.org/wiki/Energy_storage,Energy storage,"array([ 8.00673368, -1.36487805])"
35,Applied,https://en.wikipedia.org/wiki/Engineering,Engineering,"array([ 7.83241269, -1.3824469 ])"
36,Applied,https://en.wikipedia.org/wiki/Engineering_physics,Engineering physics,"array([ 7.85225941, -1.52497532])"
37,Applied,https://en.wikipedia.org/wiki/Engineering_technologist,Engineering technologist,"array([ 7.79013564, -1.39229433])"
38,Applied,https://en.wikipedia.org/wiki/Environmental_engineering science,Environmental engineering science,"array([ 7.71956893, -1.50217232])"
39,Applied,https://en.wikipedia.org/wiki/Environmental_science,Environmental science,"array([ 7.8152781, -1.6079062])"
40,Applied,https://en.wikipedia.org/wiki/Environmental_technology,Environmental technology,"array([ 7.71437475, -1.52341854])"
41,Applied,https://en.wikipedia.org/wiki/Floriculture,Floriculture,"array([ 7.70635813, -1.62420471])"
42,Applied,https://en.wikipedia.org/wiki/Food_science,Food science,"array([ 7.39238786, -2.01710901])"
43,Applied,https://en.wikipedia.org/wiki/Forensic_science,Forensic science,"array([ 7.801557  , -1.27240524])"
44,Applied,https://en.wikipedia.org/wiki/Geographic_information system,Geographic information system,"array([ 7.82997581, -1.40883384])"
45,Applied,https://en.wikipedia.org/wiki/Geomatics,Geomatics,"array([ 7.63947549, -1.58325507])"
46,Applied,https://en.wikipedia.org/wiki/Gynaecology,Gynaecology,"array([ 7.64849638, -1.27572843])"
47,Applied,https://en.wikipedia.org/wiki/Heliciculture,Heliciculture,"array([ 7.59804908, -1.27136893])"
48,Applied,https://en.wikipedia.org/wiki/Hydroponics,Hydroponics,"array([ 7.62150281, -1.37442808])"
49,Applied,https://en.wikipedia.org/wiki/Industrial_engineering,Industrial engineering,"array([ 7.81331445, -1.40503302])"
50,Applied,https://en.wikipedia.org/wiki/Internal_medicine,Internal medicine,"array([ 7.69290894, -1.29425735])"
51,Applied,https://en.wikipedia.org/wiki/Management,Management,"array([ 7.80214647, -1.36185211])"
52,Applied,https://en.wikipedia.org/wiki/Manufacturing_engineering,Manufacturing engineering,"array([ 7.81874984, -1.4158613 ])"
53,Applied,https://en.wikipedia.org/wiki/Mariculture,Mariculture,"array([ 7.57229842, -1.34171587])"
54,Applied,https://en.wikipedia.org/wiki/Marine_engineering,Marine engineering,"array([ 7.64030136, -1.5051047 ])"
55,Applied,https://en.wikipedia.org/wiki/Materials_science,Materials science,"array([ 7.94199161, -1.5348354 ])"
56,Applied,https://en.wikipedia.org/wiki/Mechanical_engineering,Mechanical engineering,"array([ 7.81701322, -1.44240904])"
57,Applied,https://en.wikipedia.org/wiki/Military_engineering,Military engineering,"array([ 7.70070779, -1.21276883])"
58,Applied,https://en.wikipedia.org/wiki/Military_history,Military history,"array([ 7.75271006, -1.25583995])"
59,Applied,https://en.wikipedia.org/wiki/Military_organization,Military organization,"array([ 7.6515932 , -1.15640699])"
60,Applied,https://en.wikipedia.org/wiki/Military_strategy,Military strategy,"array([ 7.7687223 , -1.29860318])"
61,Applied,https://en.wikipedia.org/wiki/Mining_engineering,Mining engineering,"array([ 7.72183079, -1.45308827])"
62,Applied,https://en.wikipedia.org/wiki/Nanotechnology,Nanotechnology,"array([ 7.98271252, -1.34675158])"
63,Applied,https://en.wikipedia.org/wiki/Neurology,Neurology,"array([ 7.70535003, -1.30245121])"
64,Applied,https://en.wikipedia.org/wiki/Nuclear_engineering,Nuclear engineering,"array([ 8.03375704, -1.63467973])"
65,Applied,https://en.wikipedia.org/wiki/Nuclear_technology,Nuclear technology,"array([ 8.02936048, -1.59929719])"
66,Applied,https://en.wikipedia.org/wiki/Nursing,Nursing,"array([ 7.76187253, -1.32642955])"
67,Applied,https://en.wikipedia.org/wiki/Nutrition,Nutrition,"array([ 7.41518792, -2.03349544])"
68,Applied,https://en.wikipedia.org/wiki/Olericulture,Olericulture,"array([ 7.6846514 , -1.67298272])"
69,Applied,https://en.wikipedia.org/wiki/Ophthalmology,Ophthalmology,"array([ 7.71046214, -1.28793427])"
70,Applied,https://en.wikipedia.org/wiki/Optics,Optics,"array([ 7.91417687, -1.46162566])"
71,Applied,https://en.wikipedia.org/wiki/Optometry,Optometry,"array([ 7.73764955, -1.31290725])"
72,Applied,https://en.wikipedia.org/wiki/Organizational_behavior,Organizational behavior,"array([ 7.77738088, -1.3468548 ])"
73,Applied,https://en.wikipedia.org/wiki/Pathology,Pathology,"array([ 7.72098505, -1.29950455])"
74,Applied,https://en.wikipedia.org/wiki/Pediatrics,Pediatrics,"array([ 7.68952921, -1.27778418])"
75,Applied,https://en.wikipedia.org/wiki/Permaculture,Permaculture,"array([ 7.66997404, -1.38203439])"
76,Applied,https://en.wikipedia.org/wiki/Pharmacology,Pharmacology,"array([ 7.70796854, -1.267949  ])"
77,Applied,https://en.wikipedia.org/wiki/Pharmacy,Pharmacy,"array([ 7.76211885, -1.31716304])"
78,Applied,https://en.wikipedia.org/wiki/Photogrammetry,Photogrammetry,"array([ 7.80003915, -1.45386825])"
79,Applied,https://en.wikipedia.org/wiki/Physical_therapy,Physical therapy,"array([ 7.76216641, -1.30578546])"
80,Applied,https://en.wikipedia.org/wiki/Physiology,Physiology,"array([ 7.83479112, -1.14682809])"
81,Applied,https://en.wikipedia.org/wiki/Polymer_science,Polymer science,"array([ 7.93780166, -1.67749157])"
82,Applied,https://en.wikipedia.org/wiki/Psychiatry,Psychiatry,"array([ 7.7499936 , -1.31023057])"
83,Applied,https://en.wikipedia.org/wiki/Radiology,Radiology,"array([ 7.71586575, -1.31129277])"
84,Applied,https://en.wikipedia.org/wiki/Recruit_training,Recruit training,"array([ 7.7460318, -1.2772953])"
85,Applied,https://en.wikipedia.org/wiki/Remote_sensing,Remote sensing,"array([ 7.83215128, -1.46368624])"
86,Applied,https://en.wikipedia.org/wiki/Security_engineering,Security engineering,"array([ 7.76924388, -1.51530652])"
87,Applied,https://en.wikipedia.org/wiki/Silviculture,Silviculture,"array([ 7.69292737, -1.38682513])"
88,Applied,https://en.wikipedia.org/wiki/Software_engineering,Software engineering,"array([ 7.86670282, -1.40781243])"
89,Applied,https://en.wikipedia.org/wiki/Space_exploration,Space exploration,"array([ 7.96974424, -1.55616974])"
90,Applied,https://en.wikipedia.org/wiki/Strategic_management,Strategic management,"array([ 7.81635563, -1.36251055])"
91,Applied,https://en.wikipedia.org/wiki/Systems_engineering,Systems engineering,"array([ 7.84750219, -1.38158537])"
92,Applied,https://en.wikipedia.org/wiki/Toxicology,Toxicology,"array([ 7.68710597, -1.2500299 ])"
93,Applied,https://en.wikipedia.org/wiki/Urology,Urology,"array([ 7.68178579, -1.30610003])"
94,Formal,https://en.wikipedia.org/wiki/Affine_geometry,Affine geometry,"array([ 7.97505384, -1.45187114])"
95,Formal,https://en.wikipedia.org/wiki/Algebraic_geometry,Algebraic geometry,"array([ 7.94182213, -1.41779365])"
96,Formal,https://en.wikipedia.org/wiki/Algebraic_number theory,Algebraic number theory,"array([ 7.9593255 , -1.43699785])"
97,Formal,https://en.wikipedia.org/wiki/Algebraic_topology,Algebraic topology,"array([ 7.96778222, -1.46526893])"
98,Formal,https://en.wikipedia.org/wiki/Algorithm,Algorithm,"array([ 7.87648829, -1.38796476])"
99,Formal,https://en.wikipedia.org/wiki/Analysis_of variance,Analysis of variance,"array([ 7.92591332, -1.31614329])"
100,Formal,https://en.wikipedia.org/wiki/Analytic_number theory,Analytic number theory,"array([ 7.98865061, -1.43523306])"
101,Formal,https://en.wikipedia.org/wiki/Applied_mathematics,Applied mathematics,"array([ 7.88580147, -1.46312898])"
102,Formal,https://en.wikipedia.org/wiki/Approximation_theory,Approximation theory,"array([ 7.98616724, -1.47826336])"
103,Formal,https://en.wikipedia.org/wiki/Artificial_neural network,Artificial neural network,"array([ 7.95033791, -1.34644439])"
104,Formal,https://en.wikipedia.org/wiki/Associative_algebra,Associative algebra,"array([ 7.98924273, -1.44938132])"
105,Formal,https://en.wikipedia.org/wiki/Automata_theory,Automata theory,"array([ 7.89961808, -1.42563503])"
106,Formal,https://en.wikipedia.org/wiki/Automated_reasoning,Automated reasoning,"array([ 7.88636067, -1.43326623])"
107,Formal,https://en.wikipedia.org/wiki/Biocybernetics,Biocybernetics,"array([ 7.70876321, -1.55384512])"
108,Formal,https://en.wikipedia.org/wiki/Biostatistics,Biostatistics,"array([ 7.91526071, -1.31761873])"
109,Formal,https://en.wikipedia.org/wiki/Block_design,Block design,"array([ 7.99468217, -1.4164066 ])"
110,Formal,https://en.wikipedia.org/wiki/Bootstrapping_(statistics),Bootstrapping (statistics),"array([ 7.941717  , -1.32791916])"
111,Formal,https://en.wikipedia.org/wiki/Business_informatics,Business informatics,"array([ 7.78548998, -1.5176773 ])"
112,Formal,https://en.wikipedia.org/wiki/Category_theory,Category theory,"array([ 7.9240584 , -1.42470991])"
113,Formal,https://en.wikipedia.org/wiki/Chaos_theory,Chaos theory,"array([ 7.91966708, -1.36858422])"
114,Formal,https://en.wikipedia.org/wiki/Coding_theory,Coding theory,"array([ 7.95610755, -1.37152395])"
115,Formal,https://en.wikipedia.org/wiki/Combinatorics,Combinatorics,"array([ 7.91269957, -1.4354959 ])"
116,Formal,https://en.wikipedia.org/wiki/Compiler,Compiler,"array([ 7.86924514, -1.38806219])"
117,Formal,https://en.wikipedia.org/wiki/Complex_analysis,Complex analysis,"array([ 8.04097639, -1.41135929])"
118,Formal,https://en.wikipedia.org/wiki/Complex_system,Complex system,"array([ 7.88806252, -1.37113869])"
119,Formal,https://en.wikipedia.org/wiki/Computability_theory,Computability theory,"array([ 7.91604336, -1.41797974])"
120,Formal,https://en.wikipedia.org/wiki/Computational_biology,Computational biology,"array([ 7.96571672, -1.32374329])"
121,Formal,https://en.wikipedia.org/wiki/Computational_chemistry,Computational chemistry,"array([ 7.90769486, -1.47262739])"
122,Formal,https://en.wikipedia.org/wiki/Computational_complexity theory,Computational complexity theory,"array([ 7.90829735, -1.41345718])"
123,Formal,https://en.wikipedia.org/wiki/Computational_economics,Computational economics,"array([ 7.75624986, -1.45573507])"
124,Formal,https://en.wikipedia.org/wiki/Computational_finance,Computational finance,"array([ 7.750154  , -1.58567268])"
125,Formal,https://en.wikipedia.org/wiki/Computational_fluid dynamics,Computational fluid dynamics,"array([ 7.90823051, -1.44544869])"
126,Formal,https://en.wikipedia.org/wiki/Computational_geometry,Computational geometry,"array([ 7.89446364, -1.43455895])"
127,Formal,https://en.wikipedia.org/wiki/Computational_linguistics,Computational linguistics,"array([ 7.88050747, -1.38175589])"
128,Formal,https://en.wikipedia.org/wiki/Computational_mathematics,Computational mathematics,"array([ 7.8806385, -1.4887282])"
129,Formal,https://en.wikipedia.org/wiki/Computational_neuroscience,Computational neuroscience,"array([ 7.8908346 , -1.27752693])"
130,Formal,https://en.wikipedia.org/wiki/Computational_number theory,Computational number theory,"array([ 7.87059026, -1.53527478])"
131,Formal,https://en.wikipedia.org/wiki/Computational_sociology,Computational sociology,"array([ 7.85928376, -1.34609597])"
132,Formal,https://en.wikipedia.org/wiki/Computational_statistics,Computational statistics,"array([ 7.8057608 , -1.51249164])"
133,Formal,https://en.wikipedia.org/wiki/Computer_algebra,Computer algebra,"array([ 7.90436706, -1.43381522])"
134,Formal,https://en.wikipedia.org/wiki/Computer_architecture,Computer architecture,"array([ 7.88894777, -1.40607154])"
135,Formal,https://en.wikipedia.org/wiki/Computer_graphics,Computer graphics,"array([ 7.85186819, -1.41452906])"
136,Formal,https://en.wikipedia.org/wiki/Computer_network,Computer network,"array([ 7.86485252, -1.4321637 ])"
137,Formal,https://en.wikipedia.org/wiki/Computer_science,Computer science,"array([ 7.86948079, -1.39742689])"
138,Formal,https://en.wikipedia.org/wiki/Computer_security,Computer security,"array([ 7.84670971, -1.39485402])"
139,Formal,https://en.wikipedia.org/wiki/Computer_vision,Computer vision,"array([ 7.85590251, -1.40683357])"
140,Formal,https://en.wikipedia.org/wiki/Concurrency_(computer science),Concurrency (computer science),"array([ 7.85287784, -1.49301739])"
141,Formal,https://en.wikipedia.org/wiki/Concurrent_computing,Concurrent computing,"array([ 7.85495789, -1.44415592])"
142,Formal,https://en.wikipedia.org/wiki/Control_engineering,Control engineering,"array([ 7.86029312, -1.41884728])"
143,Formal,https://en.wikipedia.org/wiki/Control_system,Control system,"array([ 7.9420953 , -1.38025318])"
144,Formal,https://en.wikipedia.org/wiki/Control_theory,Control theory,"array([ 7.89447978, -1.39869363])"
145,Formal,https://en.wikipedia.org/wiki/Cybernetics,Cybernetics,"array([ 7.83351182, -1.42510337])"
146,Formal,https://en.wikipedia.org/wiki/Data_mining,Data mining,"array([ 7.88688813, -1.41834153])"
147,Formal,https://en.wikipedia.org/wiki/Data_structure,Data structure,"array([ 7.94178101, -1.35776609])"
148,Formal,https://en.wikipedia.org/wiki/Database,Database,"array([ 7.87650658, -1.40089299])"
149,Formal,https://en.wikipedia.org/wiki/Decision_theory,Decision theory,"array([ 7.73014524, -1.41752046])"
150,Formal,https://en.wikipedia.org/wiki/Demography,Demography,"array([ 7.78480835, -1.41100723])"
151,Formal,https://en.wikipedia.org/wiki/Design_of experiments,Design of experiments,"array([ 7.91625427, -1.3039539 ])"
152,Formal,https://en.wikipedia.org/wiki/Developmental_systems theory,Developmental systems theory,"array([ 7.91451035, -1.24630397])"
153,Formal,https://en.wikipedia.org/wiki/Differential_algebra,Differential algebra,"array([ 7.90644556, -1.48777106])"
154,Formal,https://en.wikipedia.org/wiki/Differential_geometry,Differential geometry,"array([ 7.97261196, -1.44107126])"
155,Formal,https://en.wikipedia.org/wiki/Differential_topology,Differential topology,"array([ 7.91579894, -1.48231628])"
156,Formal,https://en.wikipedia.org/wiki/Digital_humanities,Digital humanities,"array([ 7.83970343, -1.36681786])"
157,Formal,https://en.wikipedia.org/wiki/Digital_image processing,Digital image processing,"array([ 7.84465743, -1.47632272])"
158,Formal,https://en.wikipedia.org/wiki/Discrete_geometry,Discrete geometry,"array([ 7.95736127, -1.47082768])"
159,Formal,https://en.wikipedia.org/wiki/Distributed_algorithm,Distributed algorithm,"array([ 7.8353642, -1.5199829])"
160,Formal,https://en.wikipedia.org/wiki/Distributed_computing,Distributed computing,"array([ 7.85649593, -1.46740147])"
161,Formal,https://en.wikipedia.org/wiki/Distributed_database,Distributed database,"array([ 7.91768762, -1.3578372 ])"
162,Formal,https://en.wikipedia.org/wiki/Dynamical_system,Dynamical system,"array([ 7.92797165, -1.39301284])"
163,Formal,https://en.wikipedia.org/wiki/Dynamical_systems theory,Dynamical systems theory,"array([ 7.92369882, -1.43445064])"
164,Formal,https://en.wikipedia.org/wiki/Econometrics,Econometrics,"array([ 7.73722995, -1.40094486])"
165,Formal,https://en.wikipedia.org/wiki/Engineering_cybernetics,Engineering cybernetics,"array([ 7.78044033, -1.55237784])"
166,Formal,https://en.wikipedia.org/wiki/Engineering_statistics,Engineering statistics,"array([ 7.94137848, -1.30111769])"
167,Formal,https://en.wikipedia.org/wiki/Epidemiology,Epidemiology,"array([ 7.90028699, -1.297402  ])"
168,Formal,https://en.wikipedia.org/wiki/Ergodic_theory,Ergodic theory,"array([ 7.95991907, -1.45025448])"
169,Formal,https://en.wikipedia.org/wiki/Expert_system,Expert system,"array([ 7.85308137, -1.37419795])"
170,Formal,https://en.wikipedia.org/wiki/Fault_tolerance,Fault tolerance,"array([ 7.9280043 , -1.33760872])"
171,Formal,https://en.wikipedia.org/wiki/Field_(mathematics),Field (mathematics),"array([ 7.96344001, -1.41376778])"
172,Formal,https://en.wikipedia.org/wiki/Finite_element method,Finite element method,"array([ 7.94348669, -1.40560425])"
173,Formal,https://en.wikipedia.org/wiki/Formal_language,Formal language,"array([ 7.96515283, -1.40312675])"
174,Formal,https://en.wikipedia.org/wiki/Formal_methods,Formal methods,"array([ 7.89197155, -1.4133814 ])"
175,Formal,https://en.wikipedia.org/wiki/Formal_verification,Formal verification,"array([ 7.86928709, -1.46232858])"
176,Formal,https://en.wikipedia.org/wiki/Foundations_of mathematics,Foundations of mathematics,"array([ 7.916417  , -1.39581638])"
177,Formal,https://en.wikipedia.org/wiki/Fractal,Fractal,"array([ 8.02160336, -1.35188337])"
178,Formal,https://en.wikipedia.org/wiki/Functional_analysis,Functional analysis,"array([ 7.95019155, -1.45129346])"
179,Formal,https://en.wikipedia.org/wiki/Functional_programming,Functional programming,"array([ 7.86859765, -1.42387702])"
180,Formal,https://en.wikipedia.org/wiki/Game_theory,Game theory,"array([ 7.81565357, -1.3927259 ])"
181,Formal,https://en.wikipedia.org/wiki/General_topology,General topology,"array([ 7.96391091, -1.43044043])"
182,Formal,https://en.wikipedia.org/wiki/Geometric_topology,Geometric topology,"array([ 7.97624124, -1.46302916])"
183,Formal,https://en.wikipedia.org/wiki/Geometry_of numbers,Geometry of numbers,"array([ 7.96650928, -1.49817576])"
184,Formal,https://en.wikipedia.org/wiki/Graph_theory,Graph theory,"array([ 7.90874656, -1.4243502 ])"
185,Formal,https://en.wikipedia.org/wiki/Grid_computing,Grid computing,"array([ 7.84455421, -1.40794765])"
186,Formal,https://en.wikipedia.org/wiki/Group_representation,Group representation,"array([ 7.94595664, -1.45824552])"
187,Formal,https://en.wikipedia.org/wiki/Group_theory,Group theory,"array([ 7.95128117, -1.43417418])"
188,Formal,https://en.wikipedia.org/wiki/Harmonic_analysis,Harmonic analysis,"array([ 7.9352787 , -1.47834474])"
189,Formal,https://en.wikipedia.org/wiki/Health_informatics,Health informatics,"array([ 7.79140667, -1.35303489])"
190,Formal,https://en.wikipedia.org/wiki/High_availability,High availability,"array([ 7.89463171, -1.38843302])"
191,Formal,https://en.wikipedia.org/wiki/Homological_algebra,Homological algebra,"array([ 7.96006805, -1.45961786])"
192,Formal,https://en.wikipedia.org/wiki/Human–computer_interaction,Human–computer interaction,"array([ 7.83789777, -1.37465094])"
193,Formal,https://en.wikipedia.org/wiki/Information_retrieval,Information retrieval,"array([ 7.80744131, -1.4171314 ])"
194,Formal,https://en.wikipedia.org/wiki/Information_science,Information science,"array([ 7.82241641, -1.37815714])"
195,Formal,https://en.wikipedia.org/wiki/Information_system,Information system,"array([ 7.84735145, -1.36581186])"
196,Formal,https://en.wikipedia.org/wiki/Information_theory,Information theory,"array([ 7.90100199, -1.4084732 ])"
197,Formal,https://en.wikipedia.org/wiki/Internet,Internet,"array([ 7.82678379, -1.38979656])"
198,Formal,https://en.wikipedia.org/wiki/Intuitionistic_logic,Intuitionistic logic,"array([ 7.95848379, -1.39240785])"
199,Formal,https://en.wikipedia.org/wiki/Lattice_(order),Lattice (order),"array([ 7.97946089, -1.43556863])"
200,Formal,https://en.wikipedia.org/wiki/Lie_algebra,Lie algebra,"array([ 7.98078566, -1.445067  ])"
201,Formal,https://en.wikipedia.org/wiki/Linear_algebra,Linear algebra,"array([ 7.94228186, -1.43274018])"
202,Formal,https://en.wikipedia.org/wiki/Linear_programming,Linear programming,"array([ 7.93247354, -1.39996613])"
203,Formal,https://en.wikipedia.org/wiki/Linear_time-invariant system,Linear time-invariant system,"array([ 7.95384051, -1.44239496])"
204,Formal,https://en.wikipedia.org/wiki/Logic,Logic,"array([ 7.8793457 , -1.36079045])"
205,Formal,https://en.wikipedia.org/wiki/Machine_learning,Machine learning,"array([ 7.88337528, -1.39740825])"
206,Formal,https://en.wikipedia.org/wiki/Management_cybernetics,Management cybernetics,"array([ 7.78534575, -1.49216722])"
207,Formal,https://en.wikipedia.org/wiki/Management_information system,Management information system,"array([ 7.78599697, -1.27065602])"
208,Formal,https://en.wikipedia.org/wiki/Mathematical_analysis,Mathematical analysis,"array([ 7.94174007, -1.44025174])"
209,Formal,https://en.wikipedia.org/wiki/Mathematical_logic,Mathematical logic,"array([ 7.92268306, -1.4133588 ])"
210,Formal,https://en.wikipedia.org/wiki/Mathematical_optimization,Mathematical optimization,"array([ 7.9064884 , -1.39280764])"
211,Formal,https://en.wikipedia.org/wiki/Mathematical_physics,Mathematical physics,"array([ 7.92750471, -1.46784843])"
212,Formal,https://en.wikipedia.org/wiki/Mathematical_statistics,Mathematical statistics,"array([ 7.93398119, -1.29419783])"
213,Formal,https://en.wikipedia.org/wiki/Measure_(mathematics),Measure (mathematics),"array([ 7.9669743 , -1.45255981])"
214,Formal,https://en.wikipedia.org/wiki/Medical_cybernetics,Medical cybernetics,"array([ 7.71790535, -1.57293085])"
215,Formal,https://en.wikipedia.org/wiki/Mobile_computing,Mobile computing,"array([ 7.82041089, -1.43088147])"
216,Formal,https://en.wikipedia.org/wiki/Modal_logic,Modal logic,"array([ 7.93183951, -1.37949416])"
217,Formal,https://en.wikipedia.org/wiki/Model_theory,Model theory,"array([ 7.93833769, -1.4246795 ])"
218,Formal,https://en.wikipedia.org/wiki/Multilinear_algebra,Multilinear algebra,"array([ 8.0226483 , -1.45840616])"
219,Formal,https://en.wikipedia.org/wiki/Multimedia,Multimedia,"array([ 7.80360393, -1.39938269])"
220,Formal,https://en.wikipedia.org/wiki/Multivariate_analysis,Multivariate analysis,"array([ 7.93020957, -1.28523763])"
221,Formal,https://en.wikipedia.org/wiki/Natural_language processing,Natural language processing,"array([ 7.90560288, -1.35166768])"
222,Formal,https://en.wikipedia.org/wiki/Non-associative_algebra,Non-associative algebra,"array([ 7.98534357, -1.46000877])"
223,Formal,https://en.wikipedia.org/wiki/Non-Euclidean_geometry,Non-Euclidean geometry,"array([ 7.94546635, -1.39268996])"
224,Formal,https://en.wikipedia.org/wiki/Non-standard_analysis,Non-standard analysis,"array([ 7.97306827, -1.41694279])"
225,Formal,https://en.wikipedia.org/wiki/Number_theory,Number theory,"array([ 7.91500223, -1.40872561])"
226,Formal,https://en.wikipedia.org/wiki/Numerical_analysis,Numerical analysis,"array([ 7.91493998, -1.42683777])"
